tag	consumer_complaint_narrative
bug	Buena pero a veces no llegan los mensajes
comment	Para repetir.
comment	Me gustaria poder ir nuevamente.
comment	El personal es muy amable.
comment	Es un placer para nosotros leer opiniones como la suya fruto del esfuerzo que venimos realizando cada día.
comment	Lo que mas nos gustó fue la ubicación.
comment	Rapido check in y out.
comment	Hotel de diez.
comment	Buena habitación y muy bien atendido
comment	El desayuno muy abundante.
comment	Ubicación excelente.
comment	El piso muy bien situado.
complaint	Mini bar con poca variedsd
comment	Excelente desayuno.
complaint	Um poco viejas las hab para un ciayro estrrllas y alguna toalla rota
complaint	Aseo irregular en los baños.
complaint	El hotel no estaba preparado para tanta ocupación.
comment	La decoración en el hotel es excelente y las habitaciones tienen un toque chic.
comment	Tb guardaron mi maleta mientras me fuí a Nazca, cosa que agradecí mucho.
comment	TODO CORRECTO.
complaint	el desayuno de la zona club es muy poco variado
comment	asi que encantados de haber elegido cathedral suittes para desconectar unos dias en familia
comment	Habitaciones amplia bien distribuidas, no se sienten ruidos de otras habitaciones, Almuerzo y cenas a precio conveniente, US$ 10 dólares diarios de cortesía para bebestibles.
comment	El personal muy profesional y atento.
complaint	No funcionaba bien el aire acondicionado
complaint	Cuando dicen cama extra grande se refieren a juntar dos colchones.
comment	Agradezco mucho toda su colaboración, el evento salió muy bien, siempre estuvieron muy pendientes y el personal con la mejor disposición.
comment	De volver a Valencia, reservamos en este hotel.
comment	Desayuno completo.
comment	Bebida y tapas gratis en el bar de 17 a 20 horas
complaint	Debilidad: no posee servicio de bar/restaurante 24hs.
comment	Cama muy cómoda Estupendo el piscolabis de la cafetería
complaint	Un poco viejo el mobiliario
comment	Tratan de resolver cualquier inconveniente El hotel centenario ya es muy bonito para quien gusta de este tipo de construcciones y se está adaptando bastante a los avances modernos.
complaint	El vecindario es un poco ruidoso por las noches, la ducha del baño tenía muy poco presión, y el desayuno no era muy variado.
comment	El detalle del desayuno en la habitación.
comment	La zona de spa y el baño de la habitación están muy bien.
complaint	Una noche se escuchaba la Tv de la pieza de al lado, pero puede que los vecinos hayan sido un poco sordos, o un problema de insonorización.
complaint	El aire acondicionado está programado a ciertos grados.
comment	Muy buen desayuno, creo que desde las 4 h d la mañana.
comment	Para repetir!!!
comment	Trato exquisito.
comment	Todo concuerda.
comment	El desayuno delicioso, personal muy atento, limpieza óptima, instalaciones enormes y modernas.
comment	La ubicación es estupenda.
comment	Lo mejor es la ubicación y las vistas de la terraza del último piso.
comment	Rico desayuno
comment	Habitaciones amplias.
comment	El desayuno es bastante completo.
comment	El baño muy completo,la cama grande y con muchos detalles.
complaint	La inexistencia en las dos habitaciones de bidet.
comment	la cama, ubicación del hotel
comment	Excelente ambiente y decoración, muy recomendado:
comment	Volveremos!
comment	El apartamento es muy amplio y con mucha luz, además de muy bien amueblado.
comment	Ademas de las instalaciones optimas, la higiene y comodidad de la habitacion fue genial.
complaint	Pasillos y exteriores de piezas poco iluminados y sin adornos, se ve viejo y mal tenido.
comment	El servicio incluyo Mucama que no estaba considerado por nosotros, por lo que fue muy agradable.
comment	Buen lugar en el que está ubicado, cerca de todo Palermo.
complaint	Me sentí esrafado
comment	Las instalaciones del hotel en general
comment	Por la mañana del último dia nos ofrecieron una habitación superior y nos invitaron a desayunar con gran amabilidad.
comment	Desayuno, habitación, cama, spa, piscina, restaurantes
comment	Todo estuvo bien
comment	Esta muy buena la app!
comment	El desayuno era espectacular y la atencion muy buena.
comment	excelente ubicación, caminado se llega a todos los puntos de interés, cómodo para una estancia de dos días, , ya que éramos personas, supermercado muy bien abastecido y a un minuto.
comment	Excelente el desayuno
complaint	La piscina de la azotea es muy bonita pero sonaba la música bastante alta todo el rato (por la mañana) y era tipo after pastillero, una pesadilla.
request	mejorar el comfort de las camas y tener baños mas grandes.
comment	Está en zona peatonal.
request	:) Deberían abrir vacantes para beta-testers :)
complaint	Eso no permite descansar totalmente .
bug	Las canciones se paran solas todo el tiempo.
comment	La habitación era amplia, el servicio muy amable
comment	Muy bueno el desayuno.
comment	El personal es muy amable y solícito.
comment	Todo muy limpio.
comment	REstaurant Tanta a pasos del hotel.
comment	El personal esta disponible 24/7 para atender y ayudar a los huespedes de manera amable y agil.
comment	Buena ubicación, buen desayuno
complaint	Wi fi desastroso, en la habitación no funcionaba nunca.
complaint	Algo caro, podrían bajarlo 2 o 3 euros
comment	El desayuno normal, limpieza del baño regular, lo recomiendo solo por ubicación esta "cerca" de plaza serrano.
complaint	No contar con un servicio de cortesía de cafetera eléctrica en la habitación.
comment	La terraza es preciosa.
comment	Me encanto el servicio de buffet en la recepción.
request	Todo el tiempo me salta!!! "Whatsapp se detuvo" .. Es súper molesto. Que pasa??? Arreglen!!!
comment	Esta muy bien ubicado.
complaint	tours mas preparados. todo es un poco improvisado. si bien es un servicio externo deben recomendar algun otro mejor
comment	El desayuno era aceptable.
comment	Como siempre, excelente servicio, delicioso desayuno y me ampliaron el Check Out.
comment	Es el Hotel de los detalles! Cada cosa está pensada en el bienestar y la satisfacción de la persona.
complaint	La grosería de una persona de la zona húmeda
comment	Lo recomiendo a ojos cerrados.
complaint	La habitación era interior y daba a un patio sin nada de luz.
comment	El desayuno delicioso, la pieza increíble y la mía tenía terraza maravilloso para tomarse un vino, el baño gigante muy agradable.
complaint	Aire acondicionado de la habitación no enfriaba bien, el extractor del baño no servía, las almohadas estaban duras y el desayuno es malo para lo que se espera del hotel.
comment	Todo es perfecto
comment	La decoración y el buffet de desayuno.
comment	El desayuno excelente, ubicación privilegiada.
complaint	No cuentan con primeros auxilios en el hotel.
comment	Nunca dormí en una cama tan comoda
comment	Habitaciones amplias y modernas.
comment	La ubicación. Muy bien situado.
comment	El personal muy atento y las habitaciones impecables.
complaint	No había servicios en la piscina , no podías pedir bebidas ni nada para comer ahí , tenias que bajar al 1 piso y la piscina estaba en el último piso , era un poco ruidosa la calle , pero estaba bien ubicado
comment	Restaurante.
comment	Variedad de zombis
complaint	La ubicación y el ruido de la calle
complaint	El hotel ofrece parking de pago el cual no está en el establecimiento sino a unos 300 metros quiza.
comment	Excelente ubicación, hermosa vista desde la habitación- Muy bueno el desayuno y con muchisimas opciones-
comment	Amenities batas de baño y pantuflas! Frigobar libre.Excelente relación precio-calidad.
comment	Desayuno muy bueno.
complaint	no existe un lugar en el hotel donde en la noche te sirvas algo
comment	Las instalacione están muy completas con numerosos pequeños electrodomésticos.
comment	Buena limpieza, doble cortina en las habitaciones.
comment	Baño limpio y con productos.
comment	El hotel esta muy bien ubicado para moverte por Seul y ademas esta en una zona de tiendas y restaurantes.
complaint	La habitación un poco pequeña!
comment	la habitacion estuvo fabulosa.
complaint	Pero igual, no es gran cosa
request	PD2: Encima pago Spotify Premium -.- ARREGLENLOOOOOO
comment	Ubicación excelente y atención del personal inmejorable
request	Ánimo a todos hacer el cambio
